|positive|,|@PrincessSuperC Hey Cici sweetheart! Just wanted to let u know I luv u! OH! and will the mixtape drop soon? FANTASY RIDE MAY 5TH!!!!|
|positive|,|@Msdebramaye I heard about that contest! Congrats girl!!|
|positive|,|UNC!!! NCAA Champs!! Franklin St.: I WAS THERE!! WILD AND CRAZY!!!!!! Nothing like it...EVER http://tinyurl.com/49955t3|
|neutral|,|Do you Share More #jokes #quotes #music #photos or #news #articles on #Facebook or #Twitter?|
|neutral|,|Good night #Twitter and #TheLegionoftheFallen.  5:45am cimes awfully early!|
|neutral|,|I just finished a 2.66 mi run with a pace of 11'14"/mi with Nike+ GPS. #nikeplus #makeitcount|
|negative|,|Disappointing day. Attended a car boot sale to raise some funds for the sanctuary, made a total of 88p after the entry fee - sigh|
|negative|,|no more taking Irish car bombs with strange Australian women who can drink like rockstars...my head hurts.|
|negative|,|Just had some bloodwork done. My arm hurts|
|positive|,|@sai_shediddy lol , you gotta share too |
|positive|,|first up, make up for lost time with jelly. Jalan jalan just the 2 of us  and the rollerblading with my pumpkin. Happeh|
|positive|,|@redrobinrockn next one for you! |
|positive|,|@CPaladino My cats enjoy the sunbeams from the open windows.  I think that counts. |
|positive|,|I cannot wait to go to FLORIDA!! |
|positive|,|not goin tto tafe |
|positive|,|@urbanpinkpixie Susan Egan, I love her! And yeah, it said I would have a pleasant trip. |
|positive|,|@MrWize sike sike call it truce???????????????? u still a bitch and my ppl still gonna air u out tho |
|positive|,|Waiting for an email that will probably never arrive. ED later, Consti study after then hopeless bumming. |
|positive|,|Just getting an additional free day |
|positive|,|Welcome @doeko ! Really glad to know you here. Your products rox man |
|positive|,|Monday is here, One more day |
|positive|,|All zombie songs are now dedicated to @HAMMER32  ? http://blip.fm/~5jbib|
|positive|,|is happy  and clean, squeaky clean|
|positive|,|@Tottie Thank you, thank you!! Thought this is where all the cool kids hang out now, hehe  xoxo!|
|positive|,|@chaoscartel That is annoying. What gear is it? I'll take it off your hands |
|positive|,|I need to get some shut eye... But I just can't let's try 1 more time. Ta Ta Twitterworld |
|positive|,|@RealBillBailey morning Bill |
|positive|,|I just want this semester to be over! Only a week and a half then it's moving time! |
|positive|,|listening to i can't wait - akon feat t pain . i love this song |
|positive|,|Cleaning my room and listening to britney.  |
|positive|,|@aruky Yes, this NBA song is great!!!  Got an old funny NBA cheerleader remix song. Ohrwurm of the day &quot;colorblind&quot;.|
|positive|,|NEW LOGO! for all the Web, Cheak it!...gAllethOo |
|positive|,|@deuhlig thanks for sharing |
|positive|,|Having a great chat with a friend. He's totally putting my mind at ease |
|positive|,|@lexiphanic  cheap and good system  http://bit.ly/Fgl2Y|
|positive|,|goodnight twitterville! really enjoyed pearl harbor. now off to sleep and cuddle with my hot man!  i will have good dreams tonight! XOXO|
|positive|,|@khodgkin1 Oh! Good idea about putting them on ice cream |
|positive|,|@yourshyness21 lol I hear you, I think I watched about 2 - 3 different movies, when I should have been getting work done.  I'll ttyl girl|
|positive|,|@DavidArchie so what cereal do you usually like? |
|positive|,|@girlfromthemoon ...i had a yay moment today  YAY hope you did too!|
|positive|,|Mmmm Chilli Crab &amp; Deal Or No Deal.....And thats life ! |
|positive|,|wish I was at #eurodjangocon |
|positive|,|endless streams of tea~~~~... it's a holiday day here... how do I know? it's raining |
|positive|,|@DonnieWahlberg sounds like you all had a great night . i'm glad it was successful |
|positive|,|goin to bed |
|positive|,|Thank god camera fixed itself. I want a new ipod |
|positive|,|Woop, have just bought the Elliot Minor album on itunes. Its finally working for me!! |
|positive|,|@FoluB pebbles thrown at windows should get *someones* attention |
|positive|,|@mikebreed There's a reason why they're so cute at times - to prevent you from throwing them overboard when they scream every 2 hrs... |
|positive|,|@nicolesssss  no, dayuuum 5o'clock was better |
|positive|,|@JRHIGHTOWER  you told me u would be there...lol! Hmmmm where were u.....|
|positive|,|watching the office......... also comedy gold |
|positive|,|@shaundiviney u no there was no point pointing it out yesterday and ppl had 2 wait til midnight .... they were kinda pissed |
|positive|,|Grand Indonesia with mom n sisters... |
|positive|,|@alibalijeweller I'm come and try to find you and be your fan too |
|positive|,|@DavidArchie I'm watching some of your videos in YouTube. You're funny David.  Oh and TALENTED of course! |
|positive|,|@LeilaniLi thks 4 the follow, and @newest tweets, i returned the love |
|positive|,|http://twitpic.com/4j8us - It is interesting that VS2003 generates a setup script for uninstall. |
|positive|,|@RealBillBailey Morning! Are u back in blighty Bill? Hope u had a lovely time away |
|positive|,|@DavidArchie want to hear something funny? I'm yours is on the radio right now! |
|positive|,|@MrPhotographic Happy b-day! Just woke up on this side of Earth, so wishes are bit late |
|positive|,|Hank Thompson � The Big One Got Away -- hmm... how old do you have to be to remember THIS?  ? http://blip.fm/~5jboh|
|positive|,|@VIbeauty we will work on that mama  sweetdreams!|
|positive|,|@eishbo0 you can do it |
|positive|,|nothings better then going out for chinese at the supperinn with ma fave cousins at 1am |
|positive|,|I am up and feeling pretty damn gud! I dont even have a hangover what a nice feeling |
|positive|,|I just dyededed my hair |
|positive|,|Drinkin' Chai tea and not sleeping.. and checkin' out some cool peeps |
|positive|,|@TimothyH2O Haha! If I were him, I'd totally go check out a small little breakfast nook  They probably have the cutest ones there.|
|positive|,|New @shackletonmusic single bought! It is awesome!! Well done boys! |
|positive|,|@amyyyxoxo ahh I gtg but pls help me with number 3 I'll come back later to see what u said  haha plz and thank u|
|positive|,|@zhayrar lol well thank you |
|positive|,|cieee @Cronatic potong rambuuuut! |
|positive|,|Can't wait for SYTYCD tour with Ashleighhh &amp; Izzayyy |
|positive|,|C-News wasn't as bad as I expected... could have done better... but today we did a great show... |
|positive|,|@KatiexCobraYo awww boo! I fucking lovee doing all the girly thingss |
|positive|,|thankyou short stack for bringing out a second sydney show,, now im going to both  im so thankful for you guys being so good 2 ur fans |
|positive|,|finally gone!!! |
|positive|,|@CeesDope_  ahhhhaaa bangbros.com! psshh nigga its all about onionbooty.com |
|positive|,|@ifixitlive Hey never realized that you also get a Twitter account.  Your guides are truly many times a lifesaver to me.  |
|positive|,|good job! |
|positive|,|@iMBA Ur welcome |
|positive|,|@cathyah I love it...that's going to be one of my new fave quotes. |
|positive|,|I love the sunshine and the happiness it brings |
|positive|,|seepin'. |
|positive|,|@bebeisis  thanks bebeisis that is right is your name by any chanve elisabeth??? |
|positive|,|@heyrbk ohh shardup! hehe. hes hot lah, gotta admeeet! bleh. |
|positive|,|cleaning cleaning cleaning today then working out!  i love not working! |
|positive|,|Chem wasn't better than physics. And now I'm so tired. @natasya_astri HAHAHA NTN BBF JUGA YA? Hihi gue sukanya Jun Pyo? |
|positive|,|@living_autism BUT on the bright side you're on twitter! Morning! |
|positive|,|@Petty01 Happy Birthday and cheers to PAO!! |
|positive|,|is home  excited that gemma is getting her breaking dawn MWAHAHAH (evil laugh)...is angry with hopeless assholes ...|
|positive|,|@justinchuan Awww!  I was thinking about you lot up there!  Glad you enjoyed it. |
|positive|,|@730Fam yeah you are right! but my mom can cook like she is straight from the island! make sure you invite me to your fam restaurant |
|positive|,|Download movie  &quot;81st Annual Academy Awards Pre-Show&quot; http://tinyurl.com/cdue53 cool #movie|
|positive|,|@cel_xox ur really smart  |
|positive|,|@geoffsays Thanks for the link Geoff |
|positive|,|aaahhh, showers are great |
|positive|,|i won because im awesome |
|positive|,|I was crying all of Tuesday cos I find out! ;( .... Economics is offically my crying subject lol |
|positive|,|@gerdiend Woman!!  hope you have a relaxing monday as I have, cu later on this sunny monday @westerkerk|
|positive|,|@YaaaaZ so don't bother urself |
|positive|,|finally having my cup of coffee!!! |
|positive|,|Just hangin out at home, watchin twiligghhttt ( and readin it (AGAIN!!) lol School sukked today Bahaha |
|positive|,|Paving your own road is intelligent only if nobody has gone exactly where you are going, come follow me |
|positive|,|@brittannyy14 yea i know right! i love that song! |
|positive|,|@antsrants it's driving me insane!  all i want is a lie in!!! |
